conference,paper,year,title,conceptual paper,DASA,Open access,reviewer 1,input data,methods/analysis/processing,computational environment,results,reviewer notes,AGILE Reproducible badge,AGILE Reproducible report
agile,agile_2020_001,2020,Exploring Factors that Influence Individuals’ Choice Between Internal Combustion Engine Cars and Electric Vehicles,F,no,yes,CG,1 documented,1 documented,T,1 documented,"CG: For input data, it refers to another paper, published in German, in which I do not see a link to a downloable dataset. My decision is 1 as the AGILE paper described in detal the dataset used. ",F,NA
agile,agile_2020_002,2020,On the Evaluation and Comparison of Region Interpolation Methods,T,yes,yes,CG,0 undocumented,1 documented,T,1 documented,"CG: The main contribution of the paper is a conceptual methodology to compare method outputs. There is a simple experiment in which some python libraries are used. Agian, this is a sort of ""toy"" demonstration which , in my opinion, does not change the conceptual nature of the paper. Yet, I still assessed the paper as if it wan't conceptual, just in case.",F,NA
agile,agile_2020_003,2020,Documentation of cultural heritage monuments with CityGML: an application for ancient theatres,T,no,yes,CG,NA,NA,F,NA,"CG: Steps to specify monuments in cityML format. It's conceptual in the sense of presenting UML diagrams, etc.",F,NA
agile,agile_2020_004,2020,A taxonomy for classifying user groups in location-based social media,T,no,yes,CG,NA,NA,F,NA,"CG: taxonomy proposal. 2 datasets used for experimentation. No computation. If I were to score input data, level 0 (undocumented) ",F,NA
agile,agile_2020_005,2020,Integrating cellular automata and discrete global grid systems: a case study into wildfire modelling,F,yes,yes,CG,1 documented,2 available,T,1 documented,CG. useful to read the Reproducibility report before to assess the apper. Daniel did a good job,T,https://doi.org/10.17605/OSF.IO/ZTC7M
agile,agile_2020_006,2020,What to do in the Meantime: A Service Coverage Analysis for Parked Autonomous Vehicles,F,yes,yes,CG,1 documented,2 available,T,1 documented,CG. useful to read the Reproducibility report before to assess the apper. Daniel/carlos did a good job,T,https://doi.org/10.17605/OSF.IO/5SVMT
agile,agile_2020_007,2020,Spatial Data Lake for Smart Cities: From Design to Implementation,F,yes,yes,CG,1 documented,2 available,T,2 available,"CG: Conceptual or not? borderline decision. Central contribution is methodology, conceptual data models (UML diagrams). Yet, there is a section on implementing a Spatial Data Lake. So, Reproducibility assessment refers only to this section",F,NA
agile,agile_2020_008,2020,Extraction of The Spatio-temporal Activity Patterns Using Laser-scanner Trajectory Data,F,no,yes,CG,0 undocumented,1 documented,F,1 documented,"CG. No access to code, data. Data is not properly described. ",F,NA
agile,agile_2020_009,2020,Scalable processing of massive geodata in the cloud: generating a level-of-detail structure optimized for web visualization,F,no,yes,CG,1 documented,1 documented,T,1 documented,"CG: This  is a computing intensive research and no code is made available. This paper is an example of bad practice: most of the body text (""param x with value..."") is unecessary if code is made available",F,NA
agile,agile_2020_010,2020,Hey You! Let’s Talk. Dialogue-Initiatives Revisited for Wayfinding Instructions,F,yes,yes,CG,2 available,1 documented,F,1 documented,"CG: I consider the data corpus as data collected for the research data and a research output itself. It is a pity that participant transcripts are in PDF format on Zenodo (level 2, instead of 3)",F,NA
agile,agile_2020_011,2020,Short-term Traffic Demand Prediction using Graph Convolutional Neural Networks,F,no,yes,CG,3 available & open,1 documented,F,1 documented,"CG: data used comes from NYC data server. My doubt: 2 or 3 level? No DOI but the server seems to offer open and permanently archived datasets (My suggestion: 3). Yet, another bad practice (code): a ML-based paper for prediction should made computational resources & code available. ",F,NA
agile,agile_2020_012,2020,Semantically-Enriched Search Engine for Geoportals: A Case Study with ArcGIS Online,F,yes,yes,CG,0 undocumented,2 available,T,1 documented,CG: methods based on an app screenshot. No link to data; no sufficient metadata to score 1,F,NA
agile,agile_2020_013,2020,Uncovering spatiotemporal biases in place-based social sensing,F,yes,yes,CG,0 undocumented,2 available,T,2 available,CG: one input dataset is not available for privacy reasons.The other inputs could be recreated with the info provided,F,NA
agile,agile_2020_014,2020,Comparing supervised learning algorithms for Spatial Nominal Entity recognition,F,no,yes,CG,0 undocumented,2 available,T,2 available,CG. based on reproducible report  ,T,https://doi.org/10.17605/OSF.IO/SUWPJ
agile,agile_2020_015,2020,Whom to Follow? A Comparison of Walking Routes Computed Based on Social Media Photos from Different Types of Contributors,F,yes,yes,CG,2 available,2 available,T,1 documented,"CG. Repos to datasets and methods are available (URL are misspelled in the paper, but easily fixable). ",F,NA
agile,agile_2020_016,2020,Creation of a Model for Estimating the Home-return Rate of Evacuees Using Mobile Phone Movement Histories and Its Application to the Nankai Trough Earthquake,F,no,yes,CG,0 undocumented,1 documented,F,1 documented,"CG. Multiple input datasets . No links to them. Some (I guess, because authors say nothing) are subject to copyright like GPS data provided by company. No code repo.",F,NA
agile,agile_2020_017,2020,Selection of Stopover Stations by Homeward-bound Railway Users,F,no,yes,CG,0 undocumented,1 documented,F,1 documented,"CG: Rather theorical paper but it uses a ""key dataset"" called ""Person Trip survey data"". That is, nothing else is commented!",F,NA
agile,agile_2020_018,2020,Tracking Hurricane Dorian in GDELT and Twitter,F,yes,yes,CG,1 documented,2 available,T,1 documented,CG: based on reproducibility report,T,https://doi.org/10.17605/OSF.IO/XS5YR
agile,agile_2020_019,2020,Analysis and mapping of crime perception: A quantitative approach of sketch maps,F,no,yes,CG,0 undocumented,1 documented,T,1 documented,"CG: One dataset is collected survey data (which scores 1 in data criterion). My final score is 0 in data because other datasets used are not properly described. Authors even add a footnote: ""Please contact the
authors if you would like to further/additionally explore the data."" ",F,NA
agile,agile_2020_020,2020,Window Operators for Processing Spatio-Temporal Data Streams on Unmanned Vehicles,F,yes,yes,CG,2 available,2 available,T,2 available,CG: based on reproducibility report,T,https://doi.org/10.17605/OSF.IO/7TWR2
agile,agile_2020_021,2020,Exploring the correlations between spatiotemporal daily activity-travel patterns and stated interest and perception of risk with self-driving cars,F,no,yes,CG,1 documented,1 documented,F,1 documented,CG.: input data based on a third-party survey data (broken link),F,
agile,agile_2020_022,2020,Extracting interrogative intents and concepts from geo-analytic questions,F,yes,yes,CG,2 available,2 available,T,1 documented,CG: based on reproducibility report,T,https://doi.org/10.17605/OSF.IO/7XRQG
agile,agile_2021_001,2021,Information-optimal Abstaining for Reliable Classification of Building Functions,F,yes,yes,FO,0 undocumented,2 available,F,1 documented,"not enough info to recreate dataset, although synthetic data creator script added",F,
agile,agile_2021_002,2021,H-TFIDF: What makes areas specific over time in the massive flow of tweets related to the covid pandemic?,F,yes,yes,FO,1 documented,3 available & open,F,3 available & open,input data was level 2 but Twitter API changes undid that,T,OSF | Reproducibility review of: H-TFIDF: What makes areas specific over time in the massive flow of tweets related to the covid pandemic?
agile,agile_2021_003,2021,Investigating drivers’ geospatial abilities in unfamiliar environments (copernicus.org),F,yes,yes,FO,2 available,2 available,F,2 available,"methods reproducibility depends on whether the survey should be considered, too: 1 if yes, 2 if no",T,OSF | Reproducibility review of: Investigating drivers’ geospatial abilities in unfamiliar environments
agile,agile_2021_004,2021,"Flood Impact Assessment on Road Network and Healthcare Access at the example of Jakarta, Indonesia (copernicus.org)",F,yes,yes,FO,1 documented,2 available,F,2 available,very detailed instructions but the initial data set is not provided,T,"OSF | Reproducibility review of: Flood Impact Assessment on Road Network and Healthcare Access – at the example of Jakarta, Indonesia"
agile,agile_2021_005,2021,Urban heat island modelling based on MUKLIMO: examples from Slovakia (copernicus.org),F,yes,yes,FO,1 documented,1 documented,F,1 documented,"lots of different data sources, mostly (?) openly available, but not provided",F,
agile,agile_2021_006,2021,Reimagining GIS Instruction through Concept-Based Learning (copernicus.org),T,yes,yes,FO,NA,NA,F,NA,all course materials available ,F,
agile,agile_2021_007,2021,A Comparative Study of Typing and Speech For Map Metadata Creation (copernicus.org),F,yes,yes,FO,3 available & open,3 available & open,F,3 available & open,all with DOI,T,OSF | reproreview-agile-2021-015.pdf
agile,agile_2021_008,2021,"Geographic Question Answering: Challenges, Uniqueness, Classification, and Future Directions (copernicus.org)",T,yes,yes,FO,NA,NA,F,NA,some data used for illustrations,F,
agile,agile_2021_009,2021,Prophet model for forecasting occupancy presence in indoor spaces using non-intrusive sensors (copernicus.org),F,yes,yes,FO,1 documented,1 documented,F,1 documented,using proprietary models and privacy-sensitive data,F,
agile,agile_2021_010,2021,Building Change Detection of Airborne Laser Scanning and Dense Image Matching Point Clouds using Height and Class Information (copernicus.org),F,yes,yes,FO,1 documented,1 documented,F,1 documented,using proprietary data and code,T,OSF | Reproducibility review of: Building Change Detection of Airborne Laser Scanning and Dense Image Matching Point Clouds using Height and Class Information
agile,agile_2021_011,2021,Extraction of linear structures from digital terrain models using deep learning (copernicus.org),F,yes,yes,FO,1 documented,3 available & open,F,1 documented,"data is proprietary, figures not reproducible",T,OSF | Reproducibility review of: Extraction of linear structures from digital terrain models using deep learning
agile,agile_2021_012,2021,Automated Extraction of Labels from Large-Scale Historical Maps (copernicus.org),F,yes,yes,FO,3 available & open,3 available & open,F,3 available & open,"not sure about level 3 for results, but important to keep in mind that it's a pre-assessment and may differ from what the repro report says",T,OSF | Reproducibility review of: Automated Extraction of Labels from Large-Scale Historical Maps
agile,agile_2021_013,2021,An Approach to Assess the Effect of Currentness of Spatial Data on Routing Quality (copernicus.org),F,yes,yes,FO,3 available & open,3 available & open,F,3 available & open,everything in Zenodo,T,OSF | Reproducibility review of: An Approach to Assess the Effect of Currentness of Spatial Data on Routing Quality
agile,agile_2021_014,2021,A Socially Aware Huff Model for Destination Choice in Nature-based Tourism (copernicus.org),F,yes,yes,FO,2 available,2 available,F,1 documented,no code to create figures,T,OSF | Reproducibility review of: A Socially Aware Huff Model for Destination Choice in Nature-based Tourism
agile,agile_2021_015,2021,Training students in Python programming skills and WPS wrapping for geoprocessing tasks by using examples of less commonly applied thematic mapping methods (copernicus.org),T,yes,yes,FO,NA,NA,F,NA,"DASA section provides much information, but course still seems non-computational",F,
agile,agile_2021_016,2021,Mining Map Interaction Semantics in web-based Geographic Information Systems (WebGIS) for Usability Analysis (copernicus.org),F,yes,yes,FO,1 documented,1 documented,F,1 documented,"experimental usabiliity study; could provide more details, but not really computational",F,
agile,agile_2022_001,2022,Geotechnology-based Spatial Learning: The Effects on Spatial Abilities and Sketch Maps in an Inter-Cultural Study,F,no,yes,CG,1 documented,1 documented,F,1 documented,CG: qualititate research involving children. No DASA,F,
agile,agile_2022_002,2022,Understanding the Imperfection of 3D point Cloud and Semantic Segmentation algorithms for 3D Models of Indoor Environment,F,yes,yes,CG,2 available,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/Z7P8K
agile,agile_2022_003,2022,Optimizing Electric Vehicle Charging Schedules Based on Probabilistic Forecast of Individual Mobility,F,yes,yes,CG,1 documented,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/JDTN3
agile,agile_2022_004,2022,What are intersections for pedestrian users?,F,yes,yes,CG,2 available,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/XPG6Y
agile,agile_2022_005,2022,Spatial Disaggregation of Population Subgroups Leveraging Self-Trained Multi-Output Gradient Boosting Regression Trees,F,yes,yes,CG,1 documented,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/CDFAH
agile,agile_2022_006,2022,Exploratory Analysis and Feature Selection for the Prediction of Nitrogen Dioxide,F,yes,yes,CG,3 available & open,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/W7VPH
agile,agile_2022_007,2022,Six GIScience Ideas That Must Die,T,yes,yes,CG,NA,NA,F,NA,,F,
agile,agile_2022_008,2022,"Classifying pedestrian trajectories by Machine learning using laser sensor data
",F,yes,yes,CG,1 documented,1 documented,F,1 documented,CG: DASA says data and code cannot be disclosed,F,
agile,agile_2022_009,2022,Geoparsing: Solved or Biased? An Evaluation of Geographic Biases in Geoparsing,F,yes,yes,CG,2 available,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/3DSMV
agile,agile_2022_010,2022,Benchmarking Invasive Alien Species Image Recognition Models for a Citizen Science Based Spatial Distribution Monitoring,F,yes,yes,CG,1 documented,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/K78EB
agile,agile_2022_011,2022,Machine Learning with Kay,F,yes,yes,CG,1 documented,2 available,T,1 documented,CG: required singular infrastructure. DASA contains two github repor. One hosts scritps and is stull accesisible. The other (data) is not reachable anymore,F,
agile,agile_2022_012,2022,"""Landmark Route"": A Comparison to the Shortest Route",F,yes,yes,CG,3 available & open,1 documented,T,1 documented,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/94VNX
agile,agile_2022_013,2022,Experimental evaluation of using BLE beacon for outdoor positioning in GPS-denied environment,F,yes,yes,CG,2 available,2 available,T,1 documented,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/8B7MR
agile,agile_2022_014,2022,Understanding COVID-19 Effects on Mobility: A Community-Engaged Approach,F,yes,yes,CG,3 available & open,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/KF8SR
agile,agile_2022_015,2022,The Impact of Built Environment on Bike Commuting: Utilising Strava Bike Data and Geographically Weighted Models,F,yes,yes,CG,2 available,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/R6PSQ
agile,agile_2022_016,2022,GeoXTag: Relative Spatial Information Extraction and Tagging of Unstructured Text,F,yes,yes,CG,2 available,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/3G9S8
agile,agile_2022_017,2022,A method to produce metadata describing and assessing the quality of spatial landmark datasets in mountain area,F,yes,yes,CG,3 available & open,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/6S2GP
agile,agile_2022_018,2022,Showcase of Active Learning and Teaching Practices in Spatial Data Infrastructure (SDI) Education,T,no,yes,CG,NA,NA,F,NA,,F,
agile,agile_2022_019,2022,Unlocking social network analysis methods for studying human mobility,F,yes,yes,CG,2 available,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/MVQCW
agile,agile_2022_020,2022,A machine learning based approach for predicting usage efficiency of shared e-scooters using vehicle availability data,F,yes,yes,CG,2 available,2 available,T,2 available,CG: based on reproducible report,T,https://doi.org/10.17605/OSF.IO/DJFC2
agile,agile_2022_021,2022,COVID-Forecast-Graph: An Open Knowledge Graph for Consolidating COVID-19 Forecasts and Economic Indicators via Place and Time,F,yes,yes,CG,1 documented,2 available,T,2 available,CG: Although it was unquailifed to a reproducibel badget at that time. DASA incudes a github repo that contains the ontology generated and how to generate it (python code),F,
agile,agile_2022_022,2022,Traffic Regulation Recognition using Crowd-Sensed GPS and Map Data: a Hybrid Approach,F,yes,yes,CG,1 documented,1 documented,T,1 documented,"CG: based on reproducible report. NOTE: Authors shared with the repro reviewer data/code privately (only for reproduction), but the link to the data/code (on a GDrive folder) as described in the repro report is broken. In the paper, DASA says that some data and code are kept closed",T,https://doi.org/10.17605/OSF.IO/WNCSM
agile,agile_2023_001,2023,From Floorplan to Navigation Concepts: Automatic Generation of Text-based Games,F,yes,yes,CG,2 available,2 available,T,1 documented,"CG: quite theoretical paper, with a small computational experiment. Data and code are available on a public github repo. ",F,
