conf,paper,year,title,link,OA,DASA,REV1,REV2,REV1 CP?,REV2 CP?,disagr_CP,REV1 input data,REV2 input data,REV1 methods,REV2 methods,REV1 CE,REV2 CE,REV1 results,REV2 results,REV1 notes,REV2 notes,consolidated_cp,consolidated_data,consolidated_methods,consolidated_results,consolidated_notes,disagr_type,consolidated_CE,AGILE Reproducible badge,AGILE Reproducible report
agile,agile_2020_014,2020,Comparing supervised learning algorithms for Spatial Nominal Entity recognition,https://doi.org/10.5194/agile-giss-1-15-2020,yes,no,CG,AG,F,F,0,0 undocumented,1 documented,2 available,2 available,T,F,2 available,1 documented,CG. based on reproducible report  ,"Data: mixed availability according to repro study
Method: GH repo
Results: repro mostly successful according to repro study",F,0 undocumented,2 available,2 available,Rev1 correct,uncertain assessment,F,T,https://doi.org/10.17605/OSF.IO/SUWPJ
agile,agile_2020_022,2020,Extracting interrogative intents and concepts from geo-analytic questions,https://doi.org/10.5194/agile-giss-1-23-2020,yes,yes,CG,AG,F,F,0,2 available,1 documented,2 available,2 available,T,F,1 documented,1 documented,CG: based on reproducibility report,"Data: some data with Figshare DOI but full data not available
Method: Fighshare 
Results: ""some key figures were not created by the provided data and code"" according to repro study",F,1 documented,2 available,1 documented,Rev2 correct,uncertain assessment,F,T,https://doi.org/10.17605/OSF.IO/7XRQG
agile,agile_2022_004,2022,What are intersections for pedestrian users?,https://agile-giss.copernicus.org/articles/3/4/2022/,yes,yes,CG,AG,F,F,0,2 available,2 available,2 available,2 available,T,F,2 available,1 documented,CG: based on reproducible report,"Data: in GH rep
Methods: GH repo
Comp env: only depencies described",F,2 available,2 available,2 available,Rev1 correct,uncertain assessment,F,T,https://doi.org/10.17605/OSF.IO/XPG6Y
agile,agile_2022_012,2022,"""Landmark Route"": A Comparison to the Shortest Route",https://agile-giss.copernicus.org/articles/3/12/2022/,yes,yes,CG,AG,F,F,0,3 available & open,3 available & open,1 documented,2 available,T,T,1 documented,3 available & open,CG: based on reproducible report,"Data: on Figshare
Method: Analysis spreadsheet on Figshare
Comp env: Spreadsheet (.ods)",F,3 available & open,2 available,3 available & open,Rev2 correct,uncertain assessment,T,T,https://doi.org/10.17605/OSF.IO/94VNX
agile,agile_2022_020,2022,A machine learning based approach for predicting usage efficiency of shared e-scooters using vehicle availability data,https://agile-giss.copernicus.org/articles/3/20/2022/,yes,yes,CG,AG,F,F,0,2 available,2 available,2 available,2 available,T,F,2 available,1 documented,CG: based on reproducible report,"Data: processed data via Google Drive link
Methods: GH repo 
Comp env: minimal info",F,2 available,2 available,2 available,Rev1 correct,uncertain assessment,F,T,https://doi.org/10.17605/OSF.IO/DJFC2
agile,agile_2023_002,2023,Analysis of cycling network evolution in OpenStreetMap through a data quality prism,https://agile-giss.copernicus.org/articles/4/3/2023/,yes,yes,CG,AG,F,F,0,2 available,2 available,2 available,2 available,T,F,2 available,2 available,CG: based on reproducible report,"Data: via Geofabrilk Download Server
Method: GH repo",F,2 available,2 available,2 available,no disagreement,no disagreement,F,T,https://doi.org/10.17605/osf.io/9kp7u
agile,agile_2023_010,2023,Extreme heat alerts and impacts across Mozambique 2016 – 2022: gathering evidence from media articles,https://agile-giss.copernicus.org/articles/4/11/2023/,yes,yes,CG,AG,F,F,0,2 available,1 documented,1 documented,1 documented,T,F,2 available,1 documented,CG: based on reproducible report,"Data: via humdata.org & NOAA & GH repo of repro study
Method: Excel sheets in repro study repo",F,2 available,1 documented,2 available,Rev1 correct. I checked again the paper and repro report,uncertain assessment,F,T,https://doi.org/10.17605/osf.io/eu8kw
agile,agile_2024_004,2024,Process Analysis in Humanitarian Voluntary Geographic Information: the case of the HOT Tasking Manager,https://agile-giss.copernicus.org/articles/5/5/2024/,yes,yes,CG,AG,F,F,0,1 documented,1 documented,2 available,2 available,T,F,2 available,1 documented,CG: based on reproducible report,"Data: via HOTOSM & Bundinglabs
Code: GH repo
Results: partially reproducable but not complelety verified",F,1 documented,2 available,2 available,Rev1 correct. - I checked paper adn repro report,uncertain assessment,F,T,https://doi.org/10.17605/osf.io/fmgb4
agile,agile_2024_012,2024,A Gamified Platform to Encourage Sustainable Behaviours,https://agile-giss.copernicus.org/articles/5/13/2024/,yes,yes,CG,AG,F,F,0,1 documented,0 undocumented,1 documented,0 undocumented,T,F,1 documented,1 documented,CG: Code cannot be disclosed according to DASA section,"Data: various non-public APIs
Method: App closed source",F,0 undocumented,0 undocumented,1 documented,Rev2 correct (data & methods methods) due to strict application of assessment protocol. ,uncertain assessment,F,F,NA
giscience,giscience_2016_001,2016,Computing River Floods Using Massive Terrain Data,https://link.springer.com/chapter/10.1007/978-3-319-45738-3_1,no,no,CG,AG,F,F,0,2 available,1 documented,1 documented,1 documented,T,F,1 documented,1 documented,"Text related to computational environment in two separate paragraphs : 1/ ""we processed on a computer with 22 GB of working main memory (roughly twelve times smaller than the size of the described dataset). For this setting, to process the entire 268 GB dataset, our adaptation for Berg Sonne’s method required roughly 24 h, and our new algorithm roughly 31 h."" and 2/ ""We implemented both algorithms in C++, using the open source library TPIE that provides I/O-efficient algorithms for sorting and scanning data [14]. We used the GNU g++ compiler (version 4.8.2), and the experiments were ran on a Linux Ubuntu operating system (release 14.04)."" Input data: Big raster dataset available from Danish governent webside but link is broken ; raster terrain extracted from the SRTM grid[13]; vector dataset by the Dartmouth Flood Observatory, and contains data acquired with MODIS (Moderate-resolution Imaging Spectroradiometer) technology [8]: No access to code","Data: SRTM
Method: no repo",F,2 available,1 documented,1 documented,Rev1 correct,uncertain assessment,F,NA,NA
giscience,giscience_2016_009,2016,Representing the Spatial Extent of Places Based on Flickr Photos with a Representativeness-Weighted Kernel Density Estimation,https://link.springer.com/chapter/10.1007/978-3-319-45738-3_9,no,no,CG,AG,F,F,0,1 documented,1 documented,1 documented,1 documented,F,F,1 documented,1 documented,"CG: Brief description of datasets, but they are recreateable with some effort. ","Data: Flickr photos, borders, ",F,1 documented,1 documented,1 documented,no disagreement,no disagreement,F,NA,NA
giscience,giscience_2016_017,2016,Exploring the Notion of Spatial Lenses,https://link.springer.com/chapter/10.1007/978-3-319-45738-3_17,no,no,CG,AG,F,T,1,1 documented,NA,1 documented,NA,F,F,1 documented,NA,"CG many dataset used, but referenced usign URL as footnotes. Unclear if data are reachable directly from URLs given. Data scarcely described.  ",,F,0 undocumented,1 documented,1 documented,Needs a REV3 --> Consolidated score based on REV3 notes,borderline conceptual paper,F,NA,NA
giscience,giscience_2018_008,2018,Labeling Points of Interest in Dynamic Maps using Disk Labels,https://drops.dagstuhl.de/storage/00lipics/lipics-vol114-giscience2018/LIPIcs.GISCIENCE.2018.8/LIPIcs.GISCIENCE.2018.8.pdf,yes,no,CG,AG,F,F,0,0 undocumented,1 documented,2 available,1 documented,F,F,1 documented,1 documented,"""The implementation is open source and can be found on GitHub [11]."" [11] is https://github.com/krumpefp/runtime_datastructure/tree/master: GPL licence, no readme. As regard data, I found the following figure caption: ""The basic label set contains all human settlements extracted from the OpenStreetMap dataset [12]"".  Bad citation practice and data is poorly described
","Data: OSM
Method: partially on GH [11],[14]",F,0 undocumented,2 available,1 documented,Rev1 correct,uncertain assessment,F,NA,NA
giscience,giscience_2018_016,2018,FUTURES-AMR: Towards an Adaptive Mesh Refinement Framework for Geosimulations,https://drops.dagstuhl.de/storage/00lipics/lipics-vol114-giscience2018/LIPIcs.GISCIENCE.2018.16/LIPIcs.GISCIENCE.2018.16.pdf,yes,no,CG,AG,F,F,0,1 documented,0 undocumented,1 documented,1 documented,T,F,1 documented,1 documented,"Data and code are not accessible. Computation environment: ""We carry out our experiments on a system with a hardware spec of 2.5 GHz Intel Corei7 processor and 16 GB memory, and software support for GDAL 2.0 and OpenMPI 1.10"".","Data: no info 
Method: equations and diagrams
Comp env: some setup specs provided",F,0 undocumented,1 documented,1 documented,Rev2 correct,uncertain assessment,F,NA,NA
giscience,giscience_2021_008,2020,"Not Arbitrary, Systematic! Average-Based Route Selection for Navigation Experiments",https://doi.org/10.4230/LIPIcs.GIScience.2021.I.8,yes,no,CG,AG,F,F,0,0 undocumented,1 documented,1 documented,1 documented,F,F,1 documented,1 documented,CG: Synthetic data is described. Used real data cannot be recreated;  no ref or link provided either,Run time is missing,F,0 undocumented,1 documented,1 documented,Rev1 correct,uncertain assessment,F,NA,NA
giscience,giscience_2021_016,2020,Traffic Prediction Framework for OpenStreetMap Using Deep Learning Based Complex Event Processing and Open Traffic Cameras,https://doi.org/10.4230/LIPIcs.GIScience.2021.I.17,yes,yes,CG,AG,F,F,0,1 documented,1 documented,2 available,0 undocumented,T,F,1 documented,1 documented,CG: Code provided in suplementary material as Github repo: https://github.com/piyushy1/OSMTrafficEstimation. Python notebook available; Data is partially available. Link to Camera data is broken. Table 3 in paper lists camera data but links are broken,,F,1 documented,2 available,1 documented,Rev1 correct,uncertain assessment,F,NA,NA
giscience,giscience_2021_024,2021,Harmonious Simplification of Isolines,https://doi.org/10.4230/LIPIcs.GIScience.2021.II.8,yes,yes,CG,AG,F,F,0,0 undocumented,1 documented,2 available,2 available,T,F,1 documented,1 documented,CG: Code provided in suplementary material as Github repo: https://github.com/tue-alga/harmonious-simplification. No data provided (even the small dataset used in the paper). Provided code does not include figures and maps in Results.,,F,0 undocumented,2 available,1 documented,Rev1 correct,uncertain assessment,F,NA,NA
giscience,giscience_2023_007,2023,Semi-Supervised Learning from Street-View Images and OpenStreetMap for Automatic Building Height Estimation,https://drops.dagstuhl.de/storage/00lipics/lipics-vol277-giscience2023/LIPIcs.GIScience.2023.7/LIPIcs.GIScience.2023.7.pdf,yes,yes,CG,AG,F,F,0,1 documented,1 documented,2 available,2 available,T,F,2 available,1 documented,"CG: no explicit DASA, but same information in ""Supplementary material"". it points to a github repo where data & code are openly available. Repo is well documented but no explicit license. For data: Authors use OSM data for Heidelberg city (only description, no access). For computational environment: ""we rely on the open-source Python software toolkit called momepy v.0.5.1 to calculate these features. For a complete list of OSM morphometric features, please refer to the GitHub repository""","Data: Mapillary; download scripts provided
Methods: GH repo & archive on softwareheritage.org",F,1 documented,2 available,2 available,Rev1 correct,uncertain assessment,F,NA,NA
agile,agile_2017_008,2017,Personal Dimensions of Landmarks,https://link.springer.com/chapter/10.1007/978-3-319-56759-4_8,no,no,FO,DN,T,T,0,NA,NA,NA,NA,F,F,NA,NA,,DN: conceptual paper.,T,NA,NA,NA,no disagreement,no disagreement,F,NA,NA
agile,agile_2017_016,2017,When Granules Are not Enough in a Theory of Granularities,https://link.springer.com/chapter/10.1007/978-3-319-56759-4_16,no,no,FO,DN,F,F,0,1 documented,0 undocumented,1 documented,0 undocumented,F,F,1 documented,1 documented,"with just a little more effort, input data could have been level 2",DN: paper has a demonstration case for a theoretical model which is described in detail but without code; used tornados dataset not linked at all; no code for map generation; result documentation only through maps of the demonstration case;,F,1 documented,1 documented,1 documented,"rev1 correct, because data is actually linked, but too many pre-processing steps are applied (and described) for Available; description of methods sufficient",major disagreement,F,NA,NA
agile,agile_2019_005,2019,A Clustering-Based Framework for Understanding Individuals’ Travel Mode Choice Behavior,https://link.springer.com/chapter/10.1007/978-3-030-14745-7_5,no,no,FO,DN,F,F,0,0 undocumented,1 documented,1 documented,1 documented,F,F,1 documented,1 documented,not enough information about data set to recreate or replace,"DN: individual movement GPS data, sensitive, not publicly linked; experimental dataset, all analyses steps only described in paper",F,0 undocumented,1 documented,1 documented,rev1 correct; data set unavailable and not described,major disagreement,F,F,NA
agile,agile_2019_013,2019,A Scalable Analytical Framework for Spatio-Temporal Analysis of Neighborhood Change: A Sequence Analysis Approach,https://link.springer.com/chapter/10.1007/978-3-030-14745-7_13,no,no,FO,DN,F,F,0,2 available,1 documented,1 documented,1 documented,F,F,1 documented,1 documented,"data could also be level 1, given that only a link to official census data is provided; also, preprocessing not properly explained (but could be subsumed under analysis dimension)","DN: base data is UK census data and can likely be accessed, but https://popchange.liverpool.ac.uk/ and thereby the main preprocessing step likely not avalable anymore (source code from 9 years ago at https://github.com/ClearMappingCo/popchange-web); analysis described in good detail in text; two relevant used R packages still exist, but no version, code, or output data is shared;",F,1 documented,1 documented,1 documented,Rev2 correct,uncertain assessment,F,F,NA
agile,agile_2021_001,2021,Information-optimal Abstaining for Reliable Classification of Building Functions,https://agile-giss.copernicus.org/articles/2/1/2021/,yes,yes,FO,DN,F,F,0,0 undocumented,1 documented,2 available,2 available,F,T,1 documented,2 available,"not enough info to recreate dataset, although synthetic data creator script added","DN: social media data analysis using Twitter API - data not shared, but Tweet IDs are published together with the code on GitHub, mentioned in DASA section - I think data was available at the time of publication (Twitter API access given); OSM data mentioned without timestamp though, therefore I say only ""documented""; Dockerfile with requirements.txt in the GitHub repo;",F,1 documented,2 available,1 documented,"both correct; OSM data without timestamp is strictly speaking ""undocumented""; some map results are not reproducible; after discussion, decided on CE ""F""",major disagreement,F,F,NA
agile,agile_2021_009,2021,Prophet model for forecasting occupancy presence in indoor spaces using non-intrusive sensors (copernicus.org),https://agile-giss.copernicus.org/articles/2/9/2021/,yes,yes,FO,DN,F,F,0,1 documented,0 undocumented,1 documented,1 documented,F,F,1 documented,1 documented,using proprietary models and privacy-sensitive data,"DN: physical experiment in a classroom with a number of sensing devices and IoT network; DASA section points to base software (still exists/mainted); proprietary code used, sample data shared upon request;",F,0 undocumented,1 documented,1 documented,Rev1 correct,uncertain assessment,F,F,NA
agile,agile_2018_006,2018,3D Georeferencing of Historical Photos by Volunteers,https://link.springer.com/chapter/10.1007/978-3-319-78208-9_6,no,no,CG,DN,F,F,0,2 available,0 undocumented,1 documented,1 documented,T,F,1 documented,1 documented,"CG: Input postcards are not directly accessible from the paper but they are openly accesible from the app web site (https://smapshot.heig-vd.ch/). In this paper, the web-based tool is not the output, but a means to assess user's performance in cataloging and georrefenring pictures. Yet, this paper is subject to discussion (see assessment criteria document)","DN: website still running at https://smapshot.heig-vd.ch/; no mentioning of data access or code; results are documented for me because I can explore the website and try the described system out myself;

DN: second evaluation: actually some source code exists on GitHub but it is not linked from the paper, https://github.com/MediaComem/smapshot-api",F,0 undocumented,1 documented,1 documented,"To be discussed. Mix of assessment, subject to diferent interpretations. I consider methods as ""documented"", but input data may be ""undocumented""",major disagreement,F,F,NA
agile,agile_2018_014,2018,A Personalized Location-Based and Serendipity-Oriented Point of Interest Recommender Assistant Based on Behavioral Patterns,https://link.springer.com/chapter/10.1007/978-3-319-78208-9_14,no,no,CG,DN,F,F,0,0 undocumented,0 undocumented,1 documented,1 documented,T,F,0 undocumented,1 documented,"CG: Input data are POI from OSM - no described, no link/access. Main output is a mobile aplication,  but no code provided.  No link to online instace or similar provided. No way to test it as a reader/reviewer. Yet, the paper includes an assessment by external users (resutls=1)","DN: new recommender system whose feasibiliy is proven by experiments; POI data ""from OSM"" and Android app + Java server component; ",F,0 undocumented,1 documented,1 documented,Rev2 correct.,uncertain assessment,F,F,NA
agile,agile_2020_008,2020,Extraction of The Spatio-temporal Activity Patterns Using Laser-scanner Trajectory Data,https://doi.org/10.5194/agile-giss-1-9-2020,yes,no,CG,DN,F,F,0,0 undocumented,0 undocumented,1 documented,0 undocumented,F,F,1 documented,1 documented,"CG. No access to code, data. Data is not properly described. ","DN: algorithm is described with text, figures and formulas but in part lacks details; collected obervation data is not shared; results documented with figures (no data); ",F,0 undocumented,0 undocumented,1 documented,Rev2 correct,uncertain assessment,F,F,NA
agile,agile_2020_016,2020,Creation of a Model for Estimating the Home-return Rate of Evacuees Using Mobile Phone Movement Histories and Its Application to the Nankai Trough Earthquake,https://doi.org/10.5194/agile-giss-1-17-2020,yes,no,CG,DN,F,F,0,0 undocumented,0 undocumented,1 documented,0 undocumented,F,F,1 documented,1 documented,"CG. Multiple input datasets . No links to them. Some (I guess, because authors say nothing) are subject to copyright like GPS data provided by company. No code repo.","DN: model based on mobile phone location (GPS) data (people flow); 1.5 million people, proprietary datasets - company names mentioned but not more; survey data by ministry, national census and meteorological data also used; model described with text and formula; model results documented with (bad) plots; other data sources cited but not available; results are just documented with one map/figure",F,0 undocumented,1 documented,1 documented,Rev1 correct,uncertain assessment,F,F,NA
agile,agile_2022_006,2022,Exploratory Analysis and Feature Selection for the Prediction of Nitrogen Dioxide,https://agile-giss.copernicus.org/articles/3/6/2022/,yes,yes,CG,DN,F,F,0,3 available & open,2 available,2 available,2 available,T,F,2 available,2 available,CG: based on reproducible report,"DN: DASA section points to data from official portal - seems still working; Code on GitHub though ArcGIS is required; own generated data on Zenodo (but offical portal not with DOI, so overall only ""available""); no software versions or readily usable environment; no license for the code/data on GitHub, no DOI for the code;",F,2 available,2 available,2 available,Rev2 correct,uncertain assessment,F,T,https://doi.org/10.17605/OSF.IO/W7VPH
agile,agile_2022_014,2022,Understanding COVID-19 Effects on Mobility: A Community-Engaged Approach,https://agile-giss.copernicus.org/articles/3/14/2022/,yes,yes,CG,DN,F,F,0,3 available & open,1 documented,2 available,2 available,T,F,2 available,1 documented,CG: based on reproducible report,DN: code on GitHub but no DOI; data proprietary but visualisation scripts provided; repro report is partially successful; Google Drive link still works!,F,1 documented,2 available,1 documented,Rev2 correct,uncertain assessment,F,T,https://doi.org/10.17605/OSF.IO/KF8SR
agile,agile_2022_022,2022,Traffic Regulation Recognition using Crowd-Sensed GPS and Map Data: a Hybrid Approach,https://agile-giss.copernicus.org/articles/3/22/2022/,yes,yes,CG,DN,F,F,0,1 documented,0 undocumented,1 documented,1 documented,T,F,1 documented,1 documented,"CG: based on reproducible report. NOTE: Authors shared with the repro reviewer data/code privately (only for reproduction), but the link to the data/code (on a GDrive folder) as described in the repro report is broken. In the paper, DASA says that some data and code are kept closed","DN: data partially open but one dataset is not shared due to privacy restrictions - authors did not say ""available upon request"", but I think this still is not ""documented""; code also kept back because of future work plans; the successful reproduction documents this well (https://osf.io/68yqw);

DN: This is an interesting case because of low assessment here but actually successfull reproduction during review!",F,0 undocumented,1 documented,1 documented,Rev2 correct,uncertain assessment,F,T,https://doi.org/10.17605/OSF.IO/WNCSM
agile,agile_2023_004,2023,Exploring MapSwipe as a Crowdsourcing Tool for (Rapid) Damage Assessment: The Case of the 2021 Haiti Earthquake,https://agile-giss.copernicus.org/articles/4/5/2023/,yes,yes,CG,DN,F,F,0,3 available & open,2 available,3 available & open,2 available,T,F,3 available & open,2 available,CG: based on reproducible report,"DN: case study datasets saved in GitHub repository which was, per request by the reproducibility reviewer, also deposited on Zenodo but not linked from the paper: https://doi.org/10.5281/zenodo.7691252; I applied a strict rule and only award ""available"", because only the GH repo is linked, which is a bummer because this could have been ""open"" with a short update of the paper;",F,2 available,2 available,2 available,Rev2 correct.,uncertain assessment,F,T,https://doi.org/10.17605/osf.io/m5bhk
agile,agile_2023_012,2023,Does spatial thinking ability relate to performance when using web-mapping services? A survey with digital natives,https://agile-giss.copernicus.org/articles/4/13/2023/,yes,yes,CG,DN,F,F,0,2 available,3 available & open,2 available,3 available & open,T,F,1 documented,3 available & open,CG: based on reproducible report,"DN: user study with several questionnaires; data and code shared on Figshare though not so nicely (zipped CSVs, stats just in R code);",F,3 available & open,3 available & open,3 available & open,Rev2 correct,uncertain assessment,F,T,https://doi.org/10.17605/osf.io/2em7v
agile,agile_2024_006,2024,FreeMapRetrieve: Freehand Gestures for Retrieve Operations in Large-Screen Map Environments,https://agile-giss.copernicus.org/articles/5/7/2024/,yes,yes,CG,DN,F,F,0,2 available,0 undocumented,1 documented,2 available,T,F,2 available,2 available,CG: based on reproducible report,"DN: multiple tools developed; code for data collection and data analysis are shared on GitHub, training protocol and videos on Figshare; the data analysis code was successfully reproduced, data collection hardware etc. obviously not;",F,0 undocumented,2 available,2 available,"Rev 2 correct. The paper described specific hw which limite reproducibilty. As rev2 said, collected data linked to this specific hw is not documented.",uncertain assessment,F,T,https://doi.org/10.17605/osf.io/gvpd9
agile,agile_2024_014,2024,Random Data Distribution for Efficient Parallel Point Cloud Processing,https://agile-giss.copernicus.org/articles/5/15/2024/,yes,yes,CG,DN,F,F,0,1 documented,1 documented,2 available,2 available,T,T,2 available,1 documented,CG: based on reproducible report,DN: infrastructure for point cloud data management and analysis; main dataset is official from Netherlands; GitHub repo contains scripts for sample data download and (performance) analysis; reproducibility report only tested the system but not do any processing or analysis; results are documented with figures/stats in the paper only;,F,1 documented,2 available,1 documented,Rev2 correct,uncertain assessment,T,T,https://doi.org/10.17605/osf.io/ymc3t
giscience,giscience_2016_003,2016,Hierarchical Prism Trees for Scalable Time Geographic Analysis,https://link.springer.com/chapter/10.1007/978-3-319-45738-3_3,no,no,CG,DN,F,F,0,2 available,0 undocumented,2 available,1 documented,F,F,1 documented,1 documented,"CG: data from EnviroCar; citation provided, assume open source, Link to an archived Github repro, https://github.com/carsonfarmer/hypt, which only included one demo notebook!","DN: data structure for data analysis with demonstration case based on open data; in final paragraph a Python tool suite is said to be under development; enviroCar is described as a data source, but the subset used for analysis is not documented; method is described in plain text (not formulas);  exemplary result is shown in a couple of figures; IMO this borders on conceptional, and the demonstration case could likely have been shared reproducibly at the time of publication;",F,0 undocumented,1 documented,1 documented,Rev2 correct,uncertain assessment,F,NA,NA
giscience,giscience_2016_011,2016,pFUTURES: A Parallel Framework for Cellular Automaton Based Urban Growth Models,https://link.springer.com/chapter/10.1007/978-3-319-45738-3_11,no,no,CG,DN,F,F,0,0 undocumented,0 undocumented,1 documented,1 documented,T,F,1 documented,1 documented,"CG: It is said ""We evaluate the performance of our framework by conducting experiments over three study regions, namely, (i) Mountain region of North Carolina, (ii) State of North Carolina and (iii) South Atlantic States.""; and nothing else","DN: framework for distributed computing based on open-source model; system is described in detail in the text and illustrated with figures; an experimental evaluation was conducted, listing the system hardware and reporting execution times in graphs only, no statistics/numbers; no mentioning of where the test data (three study regions, all US based, likely public data..) comes from;",F,0 undocumented,1 documented,1 documented,no disagreement,no disagreement,F,NA,NA
giscience,giscience_2016_019,2016,Circles in the Water: Towards Island Group Labeling,https://link.springer.com/chapter/10.1007/978-3-319-45738-3_19,no,no,CG,DN,F,F,0,0 undocumented,0 undocumented,1 documented,1 documented,F,F,1 documented,1 documented,,"DN: new label placement algorithm, tested exprimentally with real-world data; further results are link to a personal website, which is offline and not archived in the Wayback Machine; algorithm is documented in text/Lemmas; examples are shown as maps and with statistics comparing computed and original/manual label; a few people are thanked for providing digized maps - so copyright of the data may actually have been an issue, not that any attempt of sharing code or data seems to have been made;",F,0 undocumented,1 documented,1 documented,no disagreement,no disagreement,F,NA,NA
